Tendências,Volume de pesquisa,Tempo
"downdetector","500+","há 19 minutos"
"bandeirante de birigui x união são joão","200+","há 19 minutos"
"príncipe harry  duque de sussex","200+","há 29 minutos"
"impeachment","200+","há 29 minutos"
"new york city fc x nashville sc","200+","há 39 minutos"
"gael monfils","500+","há 39 minutos"
"nubank fora do ar","2000+","há 49 minutos"
"athletic x vila nova","10000+","há 59 minutos"
"renato jayme","200+","há 59 minutos"
"alexandre de moraes afastamento","10000+","há 1 hora"
